division,average_distance,crime_count
HOLLYWOOD,2.266,212904
VAN NUYS,3.167,209295
WILSHIRE,2.921,198499
SOUTHWEST,2.395,186976
OLYMPIC,1.927,172255
NORTH HOLLYWOOD,2.898,171399
77TH STREET,1.842,166133
PACIFIC,4.165,158098
CENTRAL,1.096,155274
RAMPART,1.636,150293
SOUTHEAST,2.703,143597
TOPANGA,3.6,139462
WEST VALLEY,3.207,129467
HARBOR,3.85,127073
WEST LOS ANGELES,3.31,121301
FOOTHILL,4.588,120663
HOLLENBECK,2.928,119726
NEWTON,1.764,109339
NORTHEAST,4.337,105818
MISSION,3.877,103178
DEVONSHIRE,3.066,76423
