COMM,pop_2020,crime_count_2y,avg_annual_crime_rate,income_per_capita
Palisades Highlands,9,109,6.0556,212115.0
Pacific Palisades,136,1266,4.6544,201948.38
Bel Air,538,512,0.4758,185439.21
Mandeville Canyon,194,103,0.2655,163295.34
Beverly Crest,125,615,2.46,155926.52
Playa Vista,317,999,1.5757,151284.57
Santa Monica Mountains,334,1,0.0015,146976.58
Brentwood,128,1825,7.1289,142907.48
Marina del Rey,505,16,0.0158,137813.0
Marina Peninsula,315,466,0.7397,137813.0
Porter Ranch,42,1204,14.3333,129005.72
Westhills,240,1,0.0021,125343.0
Studio City,84,2501,14.8869,114813.85
Westchester,1670,4195,1.256,114724.19
Playa Del Rey,73,368,2.5205,110884.0
Venice,42,5759,68.5595,110176.47
Rancho Park,12,924,38.5,109357.0
Encino,436,3576,4.1009,108018.28
Cheviot Hills,58,615,5.3017,106413.07
Woodland Hills,77,4892,31.7662,105636.32
Ladera Heights,24,32,0.6667,105443.46
Century City,639,843,0.6596,105301.31
Granada Hills,193,3348,8.6736,104931.16
Del Rey,157,1816,5.7834,103190.42
Carthay,166,1862,5.6084,103182.11
West Hills,199,2063,5.1834,101955.62
Chatsworth,54,2478,22.9444,101909.71
West Los Angeles,94,3463,18.4202,100723.59
Crestview,211,1061,2.5142,100559.67
South Carthay,181,1051,2.9033,99484.83
West LA,232,133,0.2866,99420.78
Atwater Village,1903,1200,0.3153,97970.44
Sherman Oaks,85,7593,44.6647,96099.36
Beverlywood,126,1017,4.0357,95460.96
Angeles National Forest,1,17,8.5,94680.48
Mar Vista,22,2486,56.5,94651.59
Sunland,45,1212,13.4667,93736.05
Shadow Hills,141,329,1.1667,91989.58
Eagle Rock,447,1933,2.1622,91132.17
Tarzana,87,2570,14.7701,90610.49
Palms,118,2742,11.6186,89962.46
Cadillac-Corning,304,442,0.727,89384.07
Reynier Village,79,430,2.7215,88490.0
Regent Square,25,167,3.34,88490.0
Park La Brea,6,1270,105.8333,87868.0
Hollywood Hills,24,3133,65.2708,87579.94
West Carson,411,30,0.0365,85674.22
Lakeview Terrace,145,763,2.631,84125.88
"",46,690,7.5,83874.53
Sylmar,520,4451,4.2798,83848.89
Mission Hills,12,1566,65.25,82164.94
Glassell Park,216,1686,3.9028,82100.43
Miracle Mile,362,1478,2.0414,81996.56
Highland Park,46,2478,26.9348,81853.0
Toluca Lake,87,897,5.1552,81759.93
Los Feliz,394,2097,2.6612,80138.57
Valley Village,101,1775,8.7871,79394.75
Northridge,497,5723,5.7575,79069.6
Faircrest Heights,118,491,2.0805,78861.68
Thai Town,666,831,0.6239,78356.0
Winnetka,118,3240,13.7288,77663.4
Silverlake,131,3631,13.8588,77172.94
Sycamore Square,72,89,0.6181,76561.25
Mt. Washington,17,1272,37.4118,75172.32
Tujunga,565,1553,1.3743,73920.1
La Rambla,186,12,0.0323,73846.55
Elysian Valley,216,707,1.6366,73090.8
Echo Park,216,1262,2.9213,72757.25
Harbor City,183,1856,5.071,72536.86
Canoga Park,262,4667,8.9065,72351.35
Arleta,250,1532,3.064,72034.65
Pacoima,283,4622,8.1661,71885.27
North Hills,1150,3946,1.7157,71829.58
Harbor Gateway,98,2927,14.9337,71581.78
Westwood,2,2665,666.25,71405.65
San Pedro,291,6684,11.4845,71347.13
Historic Filipinotown,95,1318,6.9368,70215.23
Rosewood/East Gardena,157,28,0.0892,69645.0
Reseda Ranch,262,436,0.8321,69227.47
Harbor Pines,34,159,2.3382,68710.85
Reseda,172,5034,14.6337,68456.48
Toluca Woods,36,116,1.6111,68144.93
Angelino Heights,753,245,0.1627,67062.28
Sun Valley,39,3638,46.641,66710.03
Hancock Park,24,1592,33.1667,66132.66
University Hills,103,139,0.6748,65761.0
El Sereno,199,2210,5.5528,65761.0
Lake Balboa,90,2533,14.0722,64933.62
Valley Glen,670,1864,1.391,63606.33
Melrose,292,8634,14.7842,63567.64
View Park/Windsor Hills,62,40,0.3226,63042.72
Hollywood,50,13377,133.77,62834.77
Manchester Square,67,1219,9.097,62399.0
Gramercy Place,70,1440,10.2857,61791.06
Toluca Terrace,726,37,0.0255,61761.0
Mid-City,154,1611,5.2305,61616.0
St Elmo Village,93,281,1.5108,61616.0
Victoria Park,127,827,3.2559,61587.61
Lafayette Square,202,382,0.9455,61540.73
North Hollywood,11,12982,590.0909,61266.08
View Heights,15,290,9.6667,61068.72
Hyde Park,78,3497,22.4167,60616.25
Brookside,53,56,0.5283,60490.07
Temple-Beaudry,246,2952,6.0,60053.18
Little Armenia,290,803,1.3845,59916.71
Van Nuys,6,8033,669.4167,59025.59
Country Club Park,74,1459,9.8581,57713.13
Elysian Park,13,608,23.3846,57377.12
Cloverdale/Cochran,160,1163,3.6344,56279.0
East Los Angeles,397,48,0.0605,56017.64
East Hollywood,179,2788,7.7877,55682.13
Willowbrook,124,70,0.2823,55554.71
Jefferson Park,163,587,1.8006,55275.0
Wilmington,227,4958,10.9207,55141.0
Lincoln Heights,776,2292,1.4768,55081.47
Wellington Square,298,533,0.8943,54486.1
Crenshaw District,71,1471,10.3592,53702.81
Longwood,251,371,0.739,53659.0
Alsace,360,929,1.2903,53659.0
Exposition,4,363,45.375,53659.0
Leimert Park,120,1894,7.8917,53636.04
Chinatown,315,1154,1.8317,53278.0
Wilshire Center,410,5211,6.3549,52455.61
Panorama City,645,4670,3.6202,51736.69
Little Bangladesh,398,3044,3.8241,51610.24
Baldwin Hills,723,3389,2.3437,50747.5
Harvard Park,144,5654,19.6319,50577.83
Harvard Heights,323,1725,2.6703,50448.0
Boyle Heights,165,6928,20.9939,50432.59
Florence-Firestone,425,6051,7.1188,50186.8
Lennox,24,11,0.2292,50052.0
Athens-Westmont,51,94,0.9216,49704.61
West Vernon,149,6579,22.0772,49665.07
Exposition Park,278,4764,8.5683,49335.22
Century Palms/Cove,140,4672,16.6857,48973.74
Vermont Square,27,681,12.6111,48817.15
West Adams,284,2698,4.75,48191.8
Vermont Knolls,247,2345,4.747,47273.72
Central,455,3326,3.6549,47063.54
Green Meadows,34,2883,42.3971,46869.78
Watts,312,4578,7.3365,46858.1
Vernon Central,275,3872,7.04,46215.54
South Park,306,3783,6.1814,46059.69
Koreatown,1044,5158,2.4703,45790.44
Vermont Vista,90,6540,36.3333,45447.78
Adams-Normandie,227,723,1.5925,44597.16
Pico-Union,539,4453,4.1308,44349.57
Figueroa Park Square,243,1162,2.3909,44275.84
Westlake,508,7191,7.0778,44148.44
Downtown,1005,12837,6.3866,42713.2
Wholesale District,201,9082,22.592,42162.51
University Park,202,3022,7.4802,35327.93
Little Tokyo,407,1769,2.1732,34594.18
